[2020-01-12 13:56:52,626 - INFO] Testing: /home/tanujay/DeepFake/CVPRW2019_Face_Artifacts/demo/dfdc_train_part_48/pskrepsber.mp4
[2020-01-12 13:56:54,767 - INFO] Frame 0
[2020-01-12 13:56:55,093 - INFO] 1 faces are detected.
[2020-01-12 13:56:55,693 - INFO] Frame 1
[2020-01-12 13:56:56,005 - INFO] 1 faces are detected.
[2020-01-12 13:56:56,368 - INFO] Frame 2
[2020-01-12 13:56:56,692 - INFO] 1 faces are detected.
[2020-01-12 13:56:57,056 - INFO] Frame 3
[2020-01-12 13:56:57,367 - INFO] 1 faces are detected.
[2020-01-12 13:56:57,717 - INFO] Frame 4
[2020-01-12 13:56:58,026 - INFO] 1 faces are detected.
[2020-01-12 13:56:58,371 - INFO] Frame 5
[2020-01-12 13:56:58,681 - INFO] 1 faces are detected.
[2020-01-12 13:56:59,025 - INFO] Frame 6
[2020-01-12 13:56:59,334 - INFO] 1 faces are detected.
[2020-01-12 13:56:59,680 - INFO] Frame 7
[2020-01-12 13:56:59,989 - INFO] 1 faces are detected.
[2020-01-12 13:57:00,339 - INFO] Frame 8
[2020-01-12 13:57:00,649 - INFO] 1 faces are detected.
[2020-01-12 13:57:00,996 - INFO] Frame 9
[2020-01-12 13:57:01,304 - INFO] 1 faces are detected.
[2020-01-12 13:57:01,659 - INFO] Frame 10
[2020-01-12 13:57:01,967 - INFO] 1 faces are detected.
[2020-01-12 13:57:02,320 - INFO] Frame 11
[2020-01-12 13:57:02,630 - INFO] 1 faces are detected.
[2020-01-12 13:57:02,976 - INFO] Frame 12
[2020-01-12 13:57:03,285 - INFO] 1 faces are detected.
[2020-01-12 13:57:03,629 - INFO] Frame 13
[2020-01-12 13:57:03,937 - INFO] 1 faces are detected.
[2020-01-12 13:57:04,283 - INFO] Frame 14
[2020-01-12 13:57:04,592 - INFO] 1 faces are detected.
[2020-01-12 13:57:04,935 - INFO] Frame 15
[2020-01-12 13:57:05,244 - INFO] 1 faces are detected.
[2020-01-12 13:57:05,590 - INFO] Frame 16
[2020-01-12 13:57:05,898 - INFO] 1 faces are detected.
[2020-01-12 13:57:06,248 - INFO] Frame 17
[2020-01-12 13:57:06,556 - INFO] 1 faces are detected.
[2020-01-12 13:57:06,898 - INFO] Frame 18
[2020-01-12 13:57:07,207 - INFO] 1 faces are detected.
[2020-01-12 13:57:07,551 - INFO] Frame 19
[2020-01-12 13:57:07,860 - INFO] 1 faces are detected.
[2020-01-12 13:57:08,204 - INFO] Frame 20
[2020-01-12 13:57:08,512 - INFO] 1 faces are detected.
[2020-01-12 13:57:08,860 - INFO] Frame 21
[2020-01-12 13:57:09,169 - INFO] 1 faces are detected.
[2020-01-12 13:57:09,512 - INFO] Frame 22
[2020-01-12 13:57:09,822 - INFO] 1 faces are detected.
[2020-01-12 13:57:10,165 - INFO] Frame 23
[2020-01-12 13:57:10,473 - INFO] 1 faces are detected.
[2020-01-12 13:57:10,823 - INFO] Frame 24
[2020-01-12 13:57:11,132 - INFO] 1 faces are detected.
[2020-01-12 13:57:11,476 - INFO] Frame 25
[2020-01-12 13:57:11,786 - INFO] 1 faces are detected.
[2020-01-12 13:57:12,131 - INFO] Frame 26
[2020-01-12 13:57:12,438 - INFO] 1 faces are detected.
[2020-01-12 13:57:12,786 - INFO] Frame 27
[2020-01-12 13:57:13,095 - INFO] 1 faces are detected.
[2020-01-12 13:57:13,446 - INFO] Frame 28
[2020-01-12 13:57:13,754 - INFO] 1 faces are detected.
[2020-01-12 13:57:14,098 - INFO] Frame 29
[2020-01-12 13:57:14,407 - INFO] 1 faces are detected.
[2020-01-12 13:57:14,757 - INFO] Frame 30
[2020-01-12 13:57:15,065 - INFO] 1 faces are detected.
[2020-01-12 13:57:15,409 - INFO] Frame 31
[2020-01-12 13:57:15,718 - INFO] 1 faces are detected.
[2020-01-12 13:57:16,063 - INFO] Frame 32
[2020-01-12 13:57:16,372 - INFO] 1 faces are detected.
[2020-01-12 13:57:16,723 - INFO] Frame 33
[2020-01-12 13:57:17,044 - INFO] 1 faces are detected.
[2020-01-12 13:57:17,388 - INFO] Frame 34
[2020-01-12 13:57:17,697 - INFO] 1 faces are detected.
[2020-01-12 13:57:18,043 - INFO] Frame 35
[2020-01-12 13:57:18,351 - INFO] 1 faces are detected.
[2020-01-12 13:57:18,696 - INFO] Frame 36
[2020-01-12 13:57:19,005 - INFO] 1 faces are detected.
